scenario,crte_d,total_orders,total_multiline_orders,total_singleline_orders,total_singleline_multiunit_orders,total_split_orders,total_multiline_split_orders,total_packages,total_excess_packages,p_multiline_orders,p_multiline_orders_split,p_orders_split,p_singleline_multi_unit_orders,lines_per_order,packages_per_order,units_per_order,units_per_package,total_lines,total_units,p_fc_dvs_split_orders,p_fc_store_split_orders,p_store_dvs_split_orders,p_store_store_split_orders,p_fc_store_dvs_split_orders,p_fc_fc_split_orders,p_dvs_dvs_split_orders,p_single_node_split_orders,p_no_node_all_orders,total_fc_dvs_split_orders,total_fc_store_split_orders,total_store_dvs_split_orders,total_store_store_split_orders,total_fc_store_dvs_split_orders,total_fc_fc_split_orders,total_dvs_dvs_split_orders,total_single_node_split_orders,total_no_node_all_orders,fc_packages,str_packages,dvs_packages,average_package_weight,fc_average_weight,str_average_weight,dvs_average_weight,overall_average_zone,fc_average_zone,str_average_zone,dvs_average_zone,average_shipcost,fc_average_shipcost,str_average_shipcost,dvs_average_shipcost,total_package_weight,fc_package_weight,str_package_weight,dvs_package_weight,total_package_zone,fc_package_zone,str_package_zone,dvs_package_zone,total_shipcost,fc_shipcost,str_shipcost,dvs_shipcost,fc_units,str_units,dvs_units,pkg_edd_miss,p_pkg_edd_miss,p_delta_shipcost
Uncap,15/05/22,496262,277438,218824,33732,155048,155048,713286,217024,55.91,55.89,31.24,6.8,2.91,1.44,3.5,2.43,1443325,1735725,0,60.56,0,34.08,0,5.36,0,0,0.38,0,93891,0,52846,0,8311,0,0,1899,200179,513107,0,4.36,5.16,4.05,0,3.96,6.81,2.85,0,5.07,5.55,4.89,0,3109357.948,1033027.098,2076330.85,0,2823863,1362338,1461525,0,3617928.091,1110372.003,2507556.089,0,394881,1340844,0,14531,2.037,-3.845
Uncap,16/05/22,486146,255590,230556,36276,142886,142886,689307,203161,52.57,55.9,29.39,7.46,2.75,1.42,3.37,2.38,1334876,1638380,0,56.68,0,38.89,0,4.43,0,0,0.54,0,80981,0,55571,0,6334,0,0,2627,174505,514802,0,4.44,5.49,4.08,0,3.8,7.01,2.71,0,5.07,5.81,4.81,0,3060749.605,958516.8842,2102232.72,0,2618502,1223665,1394837,0,3493178.744,1014423.134,2478755.611,0,339742,1298638,0,56534,8.202,-3.621
Uncap,17/05/22,437781,226730,211051,33486,125654,125654,617130,179349,51.79,55.42,28.7,7.65,2.72,1.41,3.37,2.39,1190713,1473352,0,56.89,0,38.51,0,4.6,0,0,0.45,0,71480,0,48391,0,5783,0,0,1970,158932,458198,0,4.62,5.68,4.25,0,3.81,7.01,2.7,0,5.13,5.97,4.83,0,2848992.277,902350.3006,1946641.977,0,2350271,1113613,1236658,0,3164038.298,948872.192,2215166.106,0,306619,1166733,0,59517,9.644,-3.779
Uncap,18/05/22,406281,216655,189626,30511,120053,120053,576846,170565,53.33,55.41,29.55,7.51,2.76,1.42,3.43,2.41,1122311,1391723,0,57.91,0,37.21,0,4.87,0,0,0.46,0,69528,0,44676,0,5849,0,0,1878,151496,425350,0,4.58,5.65,4.19,0,3.86,7.01,2.74,0,5.16,6.08,4.84,0,2639523.441,855711.4372,1783812.004,0,2227040,1062553,1164487,0,2979143.513,921657.7527,2057485.76,0,296058,1095665,0,50229,8.708,-2.435
Uncap,19/05/22,369064,192960,176104,30416,100432,100432,508015,138951,52.28,52.05,27.21,8.24,2.69,1.38,3.35,2.43,991244,1236667,0,60.37,0,33.98,0,5.64,0,0,0.38,0,60633,0,34130,0,5669,0,0,1384,149754,358261,0,5.1,6,4.73,0,4.05,6.94,2.85,0,5.37,6.15,5.05,0,2592414.569,898559.8475,1693854.722,0,2058470,1039053,1019417,0,2729450.928,920479.0282,1808971.9,0,288443,948224,0,22784,4.485,-1.199
Uncap,20/05/22,327992,171392,156600,26035,81963,81963,435377,107385,52.25,47.82,24.99,7.94,2.69,1.33,3.35,2.52,881749,1097467,0,65.22,0,28.57,0,6.21,0,0,0.52,0,53460,0,23416,0,5087,0,0,1691,124340,311037,0,5.44,7.3,4.69,0,4.29,7.52,2.99,0,5.51,6.34,5.18,0,2366453.261,907819.3799,1458633.881,0,1865854,934839,931015,0,2400232.062,788668.0455,1611564.017,0,244278,853189,0,10064,2.312,-0.454
Uncap,21/05/22,350523,191102,159421,27270,90507,90507,469455,118932,54.52,47.36,25.82,7.78,2.79,1.34,3.44,2.57,977373,1206275,0,65.1,0,28.81,0,6.09,0,0,0.29,0,58916,0,26077,0,5514,0,0,1023,134479,334976,0,4.9,6.1,4.42,0,4.23,7.15,3.06,0,5.34,5.89,5.12,0,2302369.735,820450.042,1481919.693,0,1986136,961451,1024685,0,2506943.079,792146.162,1714796.917,0,262682,943593,0,3208,0.683,-0.841
Mechmax,15/05/22,496262,277439,218823,33732,155226,155226,713735,217473,55.91,55.95,31.28,6.8,2.91,1.44,3.5,2.43,1443354,1735727,0,60.67,0,33.71,0,5.62,0,0,0.38,0,94173,0,52333,0,8720,0,0,1900,205420,508315,0,4.36,5.06,4.07,0,3.96,6.71,2.85,0,5.07,5.52,4.89,0,3109353.027,1038945.744,2070407.284,0,2825779,1377862,1447917,0,3619764.04,1133931.287,2485832.754,0,400732,1334995,0,14657,2.054,-3.796
Mechmax,16/05/22,486146,255580,230566,36285,143054,143054,689785,203639,52.57,55.97,29.43,7.46,2.75,1.42,3.37,2.38,1334878,1638380,0,56.81,0,38.57,0,4.62,0,0,0.54,0,81275,0,55170,0,6609,0,0,2625,178201,511584,0,4.44,5.4,4.1,0,3.8,6.93,2.71,0,5.07,5.79,4.82,0,3060748.385,962957.5018,2097790.883,0,2621042,1235135,1385907,0,3495391.78,1031275.066,2464116.714,0,344052,1294328,0,57238,8.298,-3.56
Mechmax,17/05/22,437781,226731,211050,33485,125687,125687,617356,179575,51.79,55.43,28.71,7.65,2.72,1.41,3.37,2.39,1190717,1473353,0,57.08,0,38.14,0,4.78,0,0,0.45,0,71738,0,47939,0,6010,0,0,1971,162291,455065,0,4.61,5.59,4.27,0,3.81,6.92,2.7,0,5.13,5.94,4.84,0,2848992.752,906582.6079,1942410.144,0,2351029,1123675,1227354,0,3165432.51,964185.1172,2201247.392,0,310581,1162772,0,60022,9.722,-3.737
Mechmax,18/05/22,406281,216656,189625,30510,120113,120113,577070,170789,53.33,55.44,29.56,7.51,2.76,1.42,3.43,2.41,1122317,1391735,0,58.03,0,36.91,0,5.06,0,0,0.46,0,69704,0,44332,0,6077,0,0,1877,154549,422521,0,4.57,5.56,4.21,0,3.86,6.94,2.73,0,5.16,6.05,4.84,0,2639538.136,859389.3374,1780148.799,0,2227868,1072354,1155514,0,2979963.058,935515.1294,2044447.929,0,299648,1092087,0,50519,8.754,-2.408
Mechmax,19/05/22,369064,192959,176105,30417,100482,100482,508127,139063,52.28,52.07,27.23,8.24,2.69,1.38,3.35,2.43,991224,1236663,0,60.45,0,33.7,0,5.86,0,0,0.38,0,60738,0,33859,0,5885,0,0,1385,152774,355353,0,5.1,5.91,4.76,0,4.05,6.87,2.84,0,5.37,6.12,5.05,0,2592411.799,902602.3932,1689809.405,0,2059225,1049003,1010222,0,2730214.048,934316.3922,1795897.656,0,291908,944755,0,22896,4.506,-1.171
Mechmax,20/05/22,327992,171389,156603,26039,81991,81991,435443,107451,52.25,47.84,25,7.94,2.69,1.33,3.35,2.52,881732,1097466,0,65.24,0,28.3,0,6.46,0,0,0.52,0,53488,0,23204,0,5299,0,0,1693,127477,307966,0,5.43,7.15,4.72,0,4.28,7.4,2.99,0,5.51,6.3,5.19,0,2366452.261,911864.312,1454587.949,0,1865755,943880,921875,0,2400837.412,803199.6255,1597637.787,0,247996,849470,0,10101,2.32,-0.429
Mechmax,21/05/22,350523,191097,159426,27275,90561,90561,469590,119067,54.52,47.39,25.84,7.78,2.79,1.34,3.44,2.57,977355,1206274,0,65.14,0,28.5,0,6.35,0,0,0.29,0,58993,0,25814,0,5754,0,0,1024,138051,331539,0,4.9,5.98,4.46,0,4.23,7.04,3.06,0,5.34,5.85,5.13,0,2302369.235,825316.7339,1477052.501,0,1987600,972113,1015487,0,2507315.102,808047.562,1699267.54,0,266717,939557,0,3209,0.683,-0.826
Default,15/05/22,496262,277218,219044,33622,166612,166612,746062,249800,55.86,60.1,33.57,6.78,2.91,1.5,3.49,2.32,1441969,1733484,0,57.18,0,37.93,0,4.89,0,0,0.5,0,95266,0,63204,0,8142,0,0,2484,203902,542160,0,4.16,5.05,3.83,0,3.93,6.7,2.89,0,5.04,5.5,4.87,0,3106136.409,1029028.846,2077107.563,0,2933886,1365786,1568100,0,3762588.13,1121572.582,2641015.548,0,390039,1343445,0,52971,7.1,0
Default,16/05/22,486146,254996,231150,36127,145469,145469,704538,218392,52.45,57.05,29.92,7.43,2.74,1.45,3.36,2.32,1330928,1633361,0,55.86,0,39.77,0,4.37,0,0,0.77,0,81266,0,57846,0,6357,0,0,3747,176778,527760,0,4.33,5.43,3.97,0,3.86,6.92,2.83,0,5.14,5.81,4.92,0,3053780.389,959401.9424,2094378.447,0,2718846,1223771,1495075,0,3624431.217,1027290.213,2597141.005,0,337389,1295972,0,130952,18.587,0
Default,17/05/22,437781,226564,211217,33387,127019,127019,629575,191794,51.75,56.06,29.01,7.63,2.72,1.44,3.36,2.34,1189385,1471338,0,57.06,0,38.27,0,4.67,0,0,0.59,0,72483,0,48609,0,5927,0,0,2575,163310,466265,0,4.52,5.57,4.15,0,3.87,6.84,2.83,0,5.22,5.94,4.97,0,2846141.69,909492.0332,1936649.657,0,2435550,1117251,1318299,0,3288302.781,969314.0922,2318988.689,0,310811,1160527,0,130922,20.795,0
Default,18/05/22,406281,216569,189712,30360,121300,121300,585312,179031,53.31,56.01,29.86,7.47,2.76,1.44,3.42,2.38,1121700,1390512,0,57.79,0,37.18,0,5.02,0,0,0.58,0,70101,0,45105,0,6094,0,0,2376,155141,430171,0,4.51,5.58,4.12,0,3.92,6.85,2.86,0,5.22,6.01,4.93,0,2636906.133,864998.0804,1771908.052,0,2292666,1062790,1229876,0,3053493.358,931660.8763,2121832.482,0,303346,1087166,0,93753,16.018,0
Default,19/05/22,369064,192890,176174,30341,102276,102276,514019,144955,52.26,53.02,27.71,8.22,2.68,1.39,3.35,2.4,990707,1235743,0,59.7,0,34.6,0,5.7,0,0,0.48,0,61060,0,35384,0,5832,0,0,1757,152244,361775,0,5.04,5.94,4.66,0,4.07,6.78,2.93,0,5.37,6.07,5.08,0,2590852.066,904687.5338,1686164.532,0,2093182,1032607,1060575,0,2762574.789,923949.1159,1838625.673,0,292543,943200,0,43405,8.444,0
Default,20/05/22,327992,171333,156659,25979,83627,83627,438926,110934,52.24,48.81,25.5,7.92,2.69,1.34,3.34,2.5,881320,1096777,0,64.21,0,29.48,0,6.31,0,0,0.59,0,53693,0,24655,0,5279,0,0,1943,126675,312251,0,5.39,7.2,4.65,0,4.27,7.36,3.02,0,5.49,6.29,5.17,0,2364981.657,911920.796,1453060.861,0,1876370,931823,944547,0,2411171.683,797161.3072,1614010.376,0,248292,848485,0,17424,3.97,0
Default,21/05/22,350523,191068,159455,27208,94650,94650,477231,126708,54.51,49.54,27,7.76,2.79,1.36,3.44,2.53,977222,1205733,0,62.81,0,31.18,0,6.01,0,0,0.34,0,59447,0,29512,0,5691,0,0,1200,137183,340048,0,4.82,6.01,4.34,0,4.18,6.98,3.05,0,5.3,5.86,5.07,0,2301277.934,824190.1355,1477087.798,0,1992765,956883,1035882,0,2528210.245,803664.8115,1724545.434,0,266225,939508,0,5826,1.221,0